"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"USA","United States","FTDS","Foreign-trained doctors - Stock","AFG","Afghanistan","2016","2016",131,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ALB","Albania","2016","2016",107,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","DZA","Algeria","2016","2016",107,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","AGO","Angola","2016","2016",1,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ATG","Antigua and Barbuda","2016","2016",1287,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ARG","Argentina","2016","2016",1554,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","AUS","Australia","2016","2016",1187,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","AUT","Austria","2016","2016",250,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BHR","Bahrain","2016","2016",75,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BGD","Bangladesh","2016","2016",1457,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BRB","Barbados","2016","2016",60,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BEL","Belgium","2016","2016",729,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BLZ","Belize","2016","2016",170,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BEN","Benin","2016","2016",5,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BOL","Bolivia","2016","2016",181,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BRA","Brazil","2016","2016",1455,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BGR","Bulgaria","2016","2016",502,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","BDI","Burundi","2016","2016",3,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","KHM","Cambodia","2016","2016",5,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CMR","Cameroon","2016","2016",74,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CAN","Canada","2016","2016",7765,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CHL","Chile","2016","2016",323,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CHN","China","2016","2016",5772,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","COL","Colombia","2016","2016",2646,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","COG","Congo","2016","2016",13,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","COK","Cook Islands","2016","2016",13,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CRI","Costa Rica","2016","2016",466,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CIV","Côte d'Ivoire","2016","2016",6,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CUB","Cuba","2016","2016",1294,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","CZE","Czech Republic","2016","2016",547,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","DNK","Denmark","2016","2016",86,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","DMA","Dominica","2016","2016",9974,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","DOM","Dominican Republic","2016","2016",6269,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ECU","Ecuador","2016","2016",637,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","EGY","Egypt","2016","2016",4379,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","SLV","El Salvador","2016","2016",329,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","EST","Estonia","2016","2016",2,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ETH","Ethiopia","2016","2016",690,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","FJI","Fiji","2016","2016",23,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","FIN","Finland","2016","2016",45,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MKD","North Macedonia","2016","2016",1070,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","FRA","France","2016","2016",645,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GAB","Gabon","2016","2016",1,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","DEU","Germany","2016","2016",2437,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GHA","Ghana","2016","2016",750,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GRC","Greece","2016","2016",1008,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GRD","Grenada","2016","2016",10789,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GTM","Guatemala","2016","2016",464,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GIN","Guinea","2016","2016",4,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","GUY","Guyana","2016","2016",41,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","HTI","Haiti","2016","2016",601,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","HND","Honduras","2016","2016",154,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","HUN","Hungary","2016","2016",1059,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ISL","Iceland","2016","2016",133,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","IND","India","2016","2016",45830,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","IDN","Indonesia","2016","2016",112,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","IRN","Iran","2016","2016",3038,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","IRQ","Iraq","2016","2016",1252,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ISR","Israel","2016","2016",3483,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ITA","Italy","2016","2016",2270,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","JAM","Jamaica","2016","2016",827,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","JPN","Japan","2016","2016",761,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","JOR","Jordan","2016","2016",1518,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","KEN","Kenya","2016","2016",186,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","KWT","Kuwait","2016","2016",81,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","LBN","Lebanon","2016","2016",3022,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","LBR","Liberia","2016","2016",54,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","LBY","Libya","2016","2016",304,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MDG","Madagascar","2016","2016",2,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MWI","Malawi","2016","2016",5,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MYS","Malaysia","2016","2016",70,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MLT","Malta","2016","2016",37,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MEX","Mexico","2016","2016",9923,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MNG","Mongolia","2016","2016",6,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MAR","Morocco","2016","2016",106,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","MMR","Myanmar","2016","2016",1052,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NPL","Nepal","2016","2016",867,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NLD","Netherlands","2016","2016",2870,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NZL","New Zealand","2016","2016",245,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NIC","Nicaragua","2016","2016",211,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NGA","Nigeria","2016","2016",3634,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","NOR","Norway","2016","2016",42,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","OMN","Oman","2016","2016",14,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PAK","Pakistan","2016","2016",12454,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PAN","Panama","2016","2016",262,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PNG","Papua New Guinea","2016","2016",3,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PRY","Paraguay","2016","2016",172,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PER","Peru","2016","2016",1528,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PHL","Philippines","2016","2016",10217,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","POL","Poland","2016","2016",2833,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","PRT","Portugal","2016","2016",75,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","KOR","Republic of Korea","2016","2016",1529,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","ROU","Romania","2016","2016",2455,,
"USA","United States","FTDS","Foreign-trained doctors - Stock","RUS","Russian Federation","2016","2016",6021,,
